name,version,average,accuracy
C (gcc),11.2.1,5.21,0.3888888888888889
Rust,1.60.0,6.1209999999999996,0.7222222222222222
C++ (g++),11.2.1,8.621,0.3888888888888889
Go,1.19.1,12.789,0.7222222222222222
Crystal,1.4.1,45.557,0.6666666666666666
PHP,8.1.11,70.694,0.7222222222222222
Nim,1.6.6,164.39000000000001,0.6666666666666666
Javascript (nodejs),18.9.1,185.484,0.7222222222222222
Java,19.36,196.74099999999999,0.7222222222222222
Python (PyPy),3.9.12,197.456,0.7222222222222222
Julia,1.6.7,733.121,0.6666666666666666
Swift,5.7,948.922,0.6666666666666666
Ruby,3.1.2,1137.632,0.6666666666666666
Python (CPython),3.10.5,1499.846,0.7222222222222222
R,4.2.0,1536.44,0.6666666666666666
Elixir,1.13.4,3118.417,0.6111111111111112
