name,version,median,min,max,accuracy
C (gcc),11.2.1,68.32,67.47,69.03,8.4968
C++ (clang++),13.0.1,68.83,67.47,68.84,8.4972
C++ (avx2),11.2.1,68.43,67.47,68.91,8.4969
C++ (g++),11.2.1,67.89,67.48,68.53,8.4968
C (clang),13.0.1,68.36,67.62,68.7,8.4972
Julia (AOT compiled),1.8.2,68.06,68.04,68.29,8.4971
Fortran 90,12.1.0,68.53,68.44,68.66,8.4972
Nim,1.6.6,134.97,134.61,135.65,8.4971
Rust,1.64.0,135.5,135.4,136.54,8.5396
Zig,0.9.1,136.07,135.44,136.2,8.4972
Go,1.19.1,136.05,135.79,136.42,8.4972
D (GDC),11.2.1,136.98,135.98,137.6,8.4972
Swift,5.7,140.14,140.01,140.23,8.4971
Common Lisp (SBCL),2.2.5,141.7,141.28,141.85,8.4972
LuaJIT,2.1.0,161.08,160.42,161.5,8.4971
Java,19.36,197.95,197.79,198.15,8.4972
C#,7.0.100,211.61,211.09,211.81,8.4972
Crystal,1.6.1,237.41,236.84,237.8,8.4971
Julia,1.8.2,348.02,347.48,357.73,8.4971
Julia (ux4),1.8.2,356.99,354.73,361.17,7.7981
Javascript (nodejs),18.9.1,364.81,364.27,365.56,8.4972
Python (PyPy),3.9.12,689.66,689.14,690.47,8.4972
R,4.2.0,725.07,717.4,749.47,8.4971
Clojure,1.11.1.1182,1988.12,1956.44,2008.62,8.4972
Lua,5.4.4,1999.92,1997.7,2000.79,8.4971
PHP,8.1.12,2707.04,2706.91,2708.12,8.4972
Elixir,1.13.4,2963.93,2941.37,2969.58,8.4326
Python (CPython),3.11.0,5345.65,5345.47,5368.63,8.4972
Ruby,3.1.2,12849.93,12792.59,12875.11,8.4971
Perl,5.34.1,13554.72,13551.59,13580.52,8.4971
Clojure (Babashka),1.0.164,37018.42,36787.58,37099.93,8.4972
