name,version,average,accuracy
Julia (AOT compiled),1.8.2,68.343,0.8235294117647058
Fortran 90 (gfortran),11.2.1,135.133,0.5
Nim,1.6.6,135.185,0.7222222222222222
C (gcc),11.2.1,135.306,0.7222222222222222
C++ (g++),11.2.1,135.71099999999998,0.7222222222222222
Go,1.19.1,136.30900000000003,0.7647058823529411
Rust,1.60.0,138.04,0.7222222222222222
Swift,5.7,140.268,0.7222222222222222
LuaJIT,2.1.0,169.454,0.7222222222222222
Crystal,1.4.1,177.99499999999998,0.7647058823529411
Java,19.36,196.382,0.7647058823529411
C#,7.0.100,213.535,0.7647058823529411
Julia,1.8.2,361.997,0.7222222222222222
Javascript (nodejs),18.9.1,368.096,0.7647058823529411
Python (PyPy),3.9.12,688.867,0.7777777777777778
R,4.2.0,788.3489999999999,0.8888888888888888
Clojure,1.11.1.1165,1898.921,0.7647058823529411
PHP,8.1.11,2879.63,0.7222222222222222
Elixir,1.13.4,2978.12,0.5555555555555556
Lua,5.4.4,5576.8240000000005,0.7222222222222222
Python (CPython),3.10.5,11475.33,0.7777777777777778
Ruby,3.1.2,12874.544,0.7647058823529411
Perl,5.34.1,13561.325,0.7647058823529411
Clojure (Babashka),1.0.164,36302.670999999995,0.7647058823529411
