name,version,median,min,max,accuracy
C++ (avx2),11.2.1,350.62,350.31,350.93,9.4973
D (LDC),1.28.1,351.01,350.8,351.23,9.4985
Zig,0.15.2,351.08,350.87,351.17,9.4985
C (clang),13.0.1,351.36,351.31,351.64,9.4967
C++ (clang++),13.0.1,351.75,351.42,352.14,9.4967
Rust (nightly),1.93.0,356.25,355.91,356.33,9.4952
C (gcc),11.2.1,400.05,399.93,400.13,9.4943
C++ (g++),11.2.1,400.51,400.5,401.37,9.4943
Fortran 90,12.4.0,413.62,408.74,414.78,9.3895
D (GDC),11.2.1,416.31,415.84,416.47,9.4943
Nim,1.6.6,435.58,435.56,436.29,9.5014
Julia (ux4),1.8.2,468.24,467.86,481.0,5.2662
Julia (AOT compiled),1.8.2,612.85,607.31,614.42,9.4969
Swift (SIMD),5.7.3,887.04,886.59,887.57,8.6928
Julia,1.8.2,905.15,898.83,905.81,9.4958
Rust,1.64.0,1253.51,1253.47,1253.8,9.4979
Java graalvm,19.36,1379.22,1371.07,1385.03,9.4979
OCaml,4.14.0,1402.13,1401.93,1402.49,9.4971
Ada (gnat-gcc),11.2.1,1403.28,1402.75,1404.1,9.4964
Scala,3.5.1,1403.39,1403.21,1403.45,9.4979
Common Lisp (SBCL),2.2.5,1407.07,1406.64,1408.27,9.4979
Swift,5.8.1,1409.38,1408.11,1410.23,9.4964
Pony,0.58.0,1411.37,1409.32,1412.29,9.4979
Pony(nightly),15.0.7,1420.98,1413.33,1421.9,9.4979
Java,19.36,1437.41,1437.24,1438.51,9.4979
LuaJIT,2.1.0,1453.07,1450.69,1459.75,9.4964
C#,9.0.203,1456.37,1456.07,1456.92,9.4979
Go,1.19.1,1512.32,1507.49,1512.58,9.4979
Crystal,1.6.2,1525.36,1524.83,1529.33,9.4964
Javascript (bun),0.5.0,1579.64,1577.9,1580.6,9.4979
Javascript (nodejs),18.9.1,1614.71,1614.34,1615.02,9.4979
Java (Vec Ops),19.36,1713.38,1710.76,1723.16,9.4979
Python (PyPy),3.9.19,3873.99,3839.42,4161.04,9.4971
Clojure,1.11.1.1257,4567.72,4551.37,4616.42,9.4979
R,4.2.0,4621.74,4608.93,4631.35,9.4971
Haskell (GHC),9.8.4,5351.47,5350.75,5382.27,9.4979
Lua,5.4.4,13478.0,13470.67,13520.47,9.4964
PHP,8.1.22,19147.7,19138.34,19149.72,9.4979
Elixir,1.13.4,19811.88,19796.4,19934.55,8.4326
Python (CPython),3.11.14,44059.47,43999.11,45954.78,9.4971
Perl,5.34.2,91134.88,90913.88,91245.52,9.4964
Ruby,3.1.5,102265.45,102080.67,102606.18,9.4964
Clojure (Babashka),1.12.212,223851.0,223675.93,224719.99,9.4979
