name,target,version,median,min,max,accuracy
Swift(identity*),swift,6.2.4,251.46079,249.00008,260.13954,98.564547
x64 NASM,x64-nasm,2.16.03,459.66904,456.16677,462.66212,94.978672
C++ (avx2),cpp-avx2,15.2.0,471.44303,470.46048,472.75258,94.973118
Nim,nim,2.2.0,479.40944,471.35544,487.4842,95.000229
C (clang),c-clang,21.1.2,472.59344,471.42753,482.11409,94.98499
Rust (nightly),rust-nightly,1.98.0,473.87656,471.84424,497.22731,94.952232
C++ (g++),cpp,15.2.0,474.56635,472.17341,476.29094,94.942956
Fortran 90,fortran,14.3.0,474.50718,472.30391,491.23847,93.895308
D (GDC),d,15.2.0,475.53086,472.39504,489.96055,94.942956
D (LDC),d-ldc,1.41.0,472.91321,472.58483,487.59224,94.98499
C (gcc),c,15.2.0,475.8428,473.72965,484.00445,94.942956
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,478.47981,473.86912,492.0748,94.973118
C++ (clang++),cpp-clang,21.1.2,478.21423,473.95421,483.34125,94.98499
C# (SIMD),cs-simd,10.0.109,477.83226,476.26698,479.12295,94.946349
Swift (SIMD),swift-simd,6.2.4,659.79057,659.29075,669.70613,86.927598
Julia,julia,1.12.6,659.92827,659.70668,696.35191,94.95805
Scala,scala,3.7.4,921.99033,916.05594,933.39165,94.979074
F#,fs,10.0.109,930.65428,928.83933,930.9384,94.979074
Odin,odin,2025,931.58596,928.86039,934.9387,94.979074
Objective-C,objc,21.1.2,938.09089,933.94231,939.89143,94.963937
C#,cs,10.0.109,949.40902,946.16026,953.68601,94.979074
V,v,0.5.1,958.7731,948.14315,991.7538,94.979074
Common Lisp (SBCL),sbcl,2.5.11,952.91893,951.57748,976.18264,94.979074
WASM (C via Wasmtime),wasm,39.0.1,984.49895,956.45896,1029.58689,94.979074
Ada (gnat-gcc),ada,15.2.0,987.08714,956.64301,1015.96811,94.963937
OCaml,ocaml,5.4.1,962.1674,956.77152,1020.05547,94.971168
Rust,rust,1.92.0,965.15426,961.38336,967.77482,94.979074
Dart (AOT),dart-aot,3.12.2,1100.39806,1082.61186,1110.6102,94.979074
Swift (relaxed),swift-relaxed,6.2.4,1090.96538,1087.59851,1213.33017,94.979074
Pascal (FPC),pascal,3.2.2,1151.3166,1144.68421,1157.68877,94.979074
LuaJIT,luajit,2.1.1723681758,1173.84294,1144.89439,1185.8598,94.963937
Pony,pony,0.58.0,1194.85965,1189.60727,1203.81657,94.979074
Crystal,crystal,1.18.2,1215.35007,1202.24288,1241.42486,94.963937
Go,go,1.25.11,1213.78227,1209.28723,1221.17926,94.963937
Pony(nightly),pony-nightly,20231205,1231.99498,1214.19126,1236.83677,94.979074
Haxe (C++),haxe,4.3.6,1236.35023,1231.77739,1243.77743,94.963935
Deno (TypeScript),deno,2.8.3,1333.71063,1323.75872,1357.91978,94.979074
Javascript (nodejs),nodejs,25.9.0,1422.00334,1421.32621,1441.6332,94.979074
Chez Scheme,chez,10.3.0,1797.81751,1781.64115,1905.17964,94.963937
Racket,racket,9.2,1929.10796,1817.75885,1973.34423,94.963937
Java (Vec Ops),java-vecops,25.0.3,2168.56717,2153.22416,2225.84511,94.978672
Kotlin,kotlin,2.2.21,2161.33894,2160.64632,2226.68628,94.979074
Javascript (bun),bunjs,1.3.14,2349.15032,2275.30349,2365.19489,94.979074
Java,java,25.0.3,2337.40527,2306.50685,2355.66696,94.963937
Clojure,clj,1.12.5.1654,2819.74157,2771.52093,2917.4225,94.979074
Groovy,groovy,5.0.6,3245.11711,3085.72042,3290.58108,94.963937
Haskell (GHC),haskell,9.10.3,4140.76846,4140.45956,4141.45164,94.979074
Python (MyPyC),mypyc,2.1.0,4324.03349,4292.71472,4338.90821,94.979074
Python (PyPy),pypy,3.11.15,5448.26329,5448.22371,5452.37876,94.963937
Dart (JIT),dart,3.12.2,6226.88065,6146.49366,6353.70679,94.979074
R,r,4.5.2,6215.45432,6194.57551,6222.20315,94.971498
Erlang,erlang,28.5.0.2,12672.04491,12389.02382,12791.69745,94.963937
Elixir,elixir,15.2.7.8,14758.90391,14669.04476,15069.62842,94.963937
Lua,lua,5.4.8,15749.18922,15504.4639,15759.78893,94.963937
PHP,php,8.4.21,16461.465,16183.39824,16785.0447,94.963937
Janet (compiled),janet-compiled,1.41.2,23332.24541,23215.83244,23624.7507,94.963937
Ruby,ruby,3.4.9,52029.83561,51579.71419,52668.96827,94.963937
Raku,raku,2026.03,106790.23162,106101.86396,110406.85997,94.963937
Perl,perl,5,109184.25396,108608.84427,122466.51246,94.963937
Python (CPython),cpython,3.14.6,140353.79557,133625.62478,142862.58347,94.963937
